customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,operator,region_uf,plan_speed_mbps,avg_download_speed_mbps,avg_latency_ms,packet_loss_pct_30d,fiber_outages_count_90d,modem_reboots_count_30d,technical_visit_count_12m,nps_score,csat_score,whatsapp_sentiment_score,crm_tickets_opened_60d,anatel_complaint_flag,billing_disputes_count_12m,auto_debit_failures_count,price_increase_pct_last_cycle,pix_payment_enabled,b2b_cnpj_flag
CLARO-00011-509,Female,0,Yes,No,1,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,120.09,120.14,Yes,Claro,SP,300,93.5,110.4,32.99,6,7,3,3,1.1,-0.58,4,0,3,2,4.9,1,0
CLARO-00012-296,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,127.19,8715.45,No,Claro,RJ,100,95.3,17.1,0.15,1,1,0,10,4.7,0.64,0,0,0,0,12.7,1,0
CLARO-00013-744,Male,0,Yes,Yes,50,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,89.68,4309.76,No,Claro,RJ,50,45.7,27.9,0.69,0,1,0,10,4.9,0.48,1,0,0,0,11.3,0,0
VIVO-00014-896,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,218.35,1321.24,No,Vivo,PR,500,427.0,35.1,1.14,0,1,0,8,4.9,0.39,0,0,0,0,12.0,0,0
CLARO-00015-379,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),44.03,222.7,No,Claro,SC,0,0.0,31.9,0.15,0,0,1,7,4.1,0.41,0,0,0,0,6.3,0,0
CLARO-00016-867,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,42.69,215.02,No,Claro,SP,0,0.0,32.1,0.7,0,0,0,9,4.0,0.59,0,0,0,0,0.4,1,0
CLARO-00017-484,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,140.52,1411.14,No,Claro,BA,300,308.5,25.0,0.47,0,0,0,7,4.4,0.62,0,0,0,0,8.9,1,0
VIVO-00018-188,Female,0,Yes,Yes,20,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),128.46,2560.15,No,Vivo,MG,50,44.9,24.2,0.69,0,0,0,8,3.8,0.39,0,0,0,0,5.2,0,0
CLARO-00019-460,Female,0,Yes,Yes,15,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),99.62,1420.87,Yes,Claro,RJ,50,43.8,21.1,0.86,0,0,0,8,4.9,0.61,0,0,0,0,5.1,0,0
VIVO-00020-982,Female,1,Yes,Yes,9,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,114.49,996.19,No,Vivo,SP,100,96.4,29.7,0.54,0,0,1,7,4.7,0.61,0,0,0,0,6.1,1,0
CLARO-00021-133,Male,0,Yes,No,26,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,116.59,2948.17,Yes,Claro,SP,50,49.4,20.7,0.19,0,1,1,8,4.4,0.25,0,0,0,0,14.4,0,0
CLARO-00022-121,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,154.93,617.26,No,Claro,RJ,1000,960.0,40.4,0.99,0,0,0,8,5.0,0.46,0,0,0,0,2.8,1,0
TIM-00023-740,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),152.6,1376.48,Yes,TIM,SP,500,495.5,40.0,0.39,0,0,0,8,4.3,0.29,0,0,0,0,11.6,0,0
VIVO-00024-906,Female,0,Yes,Yes,12,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),119.91,1464.16,Yes,Vivo,SC,500,456.8,37.7,0.52,0,0,1,8,5.0,0.72,0,0,0,0,5.0,1,0
TIM-00025-202,Female,1,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),163.66,2778.27,No,TIM,SP,1000,1034.2,14.1,0.78,0,2,0,8,3.9,0.61,1,0,0,0,11.9,1,0
VIVO-00026-249,Male,0,No,No,43,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,107.12,4410.24,No,Vivo,RJ,50,52.4,14.2,1.14,0,0,1,9,4.3,0.4,1,0,0,0,4.4,1,0
VIVO-00027-949,Female,0,No,No,6,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,134.46,784.87,No,Vivo,SP,100,86.9,32.4,0.21,1,1,0,9,3.8,0.44,0,0,0,0,11.8,0,0
VIVO-00028-613,Female,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),132.05,2596.11,No,Vivo,SC,300,262.4,23.8,0.35,0,0,0,8,4.3,0.62,0,0,0,0,4.9,1,0
CLARO-00029-750,Female,0,Yes,Yes,25,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),142.42,3472.87,No,Claro,RJ,1000,1016.7,38.6,0.8,0,1,1,8,4.6,0.34,0,0,0,0,13.5,1,0
VIVO-00030-382,Male,0,No,No,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),141.2,135.44,No,Vivo,BA,50,48.5,35.2,0.96,0,0,1,6,4.4,0.72,0,0,0,0,8.8,1,0
VIVO-00031-229,Female,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,120.29,3042.36,No,Vivo,MG,500,516.0,32.6,0.61,0,0,0,9,3.9,0.38,0,0,0,0,6.8,1,0
VIVO-00032-818,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),170.02,832.04,No,Vivo,SC,500,468.2,14.7,0.15,0,1,0,7,3.9,0.82,0,0,0,0,6.3,0,0
VIVO-00033-394,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),161.94,154.63,No,Vivo,GO,700,599.1,31.7,0.85,0,0,0,5,4.2,0.32,0,0,0,0,1.4,1,0
VIVO-00034-564,Female,1,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,157.82,10998.13,No,Vivo,SP,300,295.0,32.4,0.61,0,0,0,9,3.8,0.4,0,0,0,0,11.2,1,0
CLARO-00035-820,Male,0,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,150.22,10839.7,No,Claro,BA,300,296.4,40.4,0.58,0,0,0,7,4.3,0.46,0,0,0,0,1.1,1,0
CLARO-00036-298,Female,0,No,No,46,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),138.65,6084.08,No,Claro,SP,500,487.5,28.9,0.78,1,1,0,7,3.9,0.49,0,0,0,0,6.8,1,0
TIM-00037-178,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.04,416.34,No,TIM,RJ,0,0.0,26.3,0.22,0,0,0,10,4.2,0.66,0,0,0,0,7.8,1,0
VIVO-00038-389,Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,170.97,342.53,No,Vivo,MG,1000,969.0,33.0,0.5,2,2,0,8,4.7,0.73,0,0,0,0,9.7,1,0
VIVO-00039-471,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),122.51,3939.4,No,Vivo,SP,300,309.2,32.8,0.77,0,1,0,8,4.7,0.83,0,0,0,0,14.5,0,0
TIM-00040-298,Female,0,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),156.71,2443.35,Yes,TIM,SP,1000,1002.6,37.5,0.38,1,0,1,7,4.3,0.82,0,0,0,0,7.5,1,0
TIM-00041-483,Male,1,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,111.38,337.0,No,TIM,MG,700,654.3,40.2,0.75,0,1,0,7,4.1,0.62,0,0,0,0,9.5,1,0
CLARO-00042-398,Female,1,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,151.17,2855.63,No,Claro,SP,300,275.0,35.1,0.9,0,0,0,10,4.0,0.71,0,0,0,0,11.6,1,0
VIVO-00043-144,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,156.97,151.1,Yes,Vivo,SP,500,494.2,22.2,0.26,2,0,0,8,3.9,0.48,0,0,0,0,4.9,1,0
CLARO-00044-834,Female,0,Yes,Yes,67,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),110.07,7495.77,No,Claro,PR,100,85.7,30.2,0.95,0,0,0,8,4.3,0.57,0,0,0,0,8.6,1,0
CLARO-00045-765,Female,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,143.95,1151.22,No,Claro,SP,700,730.5,41.9,0.98,0,2,0,9,4.5,0.39,0,0,0,0,5.4,1,0
TIM-00046-911,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.79,1325.18,Yes,TIM,BA,0,0.0,33.5,0.6,0,0,0,9,4.0,0.41,0,0,0,3,9.6,1,0
TIM-00047-543,Male,0,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),168.85,1672.25,No,TIM,PR,700,695.9,16.6,0.81,1,1,0,9,4.8,0.22,0,0,0,0,6.2,1,0
CLARO-00048-742,Female,0,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),112.69,2180.28,No,Claro,SP,50,45.7,23.1,0.7,0,0,0,7,3.9,0.39,0,0,0,0,4.9,1,0
VIVO-00049-881,Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),62.29,1371.65,No,Vivo,RJ,0,0.0,13.5,0.62,0,1,0,8,4.4,0.75,0,0,0,0,6.0,1,0
VIVO-00050-666,Female,1,No,No,5,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),133.36,662.24,No,Vivo,MG,50,50.5,13.2,0.87,0,0,0,10,4.0,0.81,0,0,0,0,7.6,1,0
CLARO-00051-676,Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),61.65,4334.99,No,Claro,SP,0,0.0,31.7,1.17,0,0,0,7,4.4,0.54,0,0,0,0,8.6,0,0
VIVO-00052-551,Female,0,Yes,Yes,41,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,104.65,4371.13,No,Vivo,PR,50,49.3,32.3,1.05,0,1,0,8,4.9,0.38,0,0,0,0,10.4,1,0
CLARO-00053-673,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,190.48,13717.51,No,Claro,BA,500,486.6,32.9,0.21,1,0,0,9,4.4,0.61,0,0,0,0,0.1,1,0
TIM-00054-516,Female,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),130.71,8393.14,No,TIM,RJ,500,521.2,26.9,1.13,0,2,1,7,4.5,0.27,1,0,0,0,14.1,0,0
CLARO-00055-297,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,136.07,3387.32,No,Claro,SP,700,629.7,16.2,0.42,0,0,0,9,4.9,0.4,0,0,0,0,1.8,1,0
CLARO-00056-614,Female,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,61.72,4324.21,No,Claro,RJ,0,0.0,33.1,1.1,0,1,0,10,4.7,0.64,0,0,0,0,13.8,1,0
TIM-00057-617,Male,0,Yes,Yes,2,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),144.92,284.93,No,TIM,SP,50,44.7,19.6,0.05,0,0,0,9,4.4,0.24,1,0,0,0,2.0,1,0
TIM-00058-530,Female,0,Yes,No,6,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,101.59,580.44,Yes,TIM,MG,50,13.9,207.2,27.42,5,10,2,1,1.7,-0.86,3,0,3,1,3.6,1,0
CLARO-00059-557,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),125.07,124.45,Yes,Claro,MG,700,672.9,24.4,0.37,0,0,0,7,4.6,0.56,0,0,0,0,10.4,1,0
VIVO-00060-288,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,172.22,1843.85,No,Vivo,SP,1000,970.6,20.1,0.82,0,1,0,9,4.7,0.56,0,0,0,0,14.1,0,0
VIVO-00061-872,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),153.51,1917.14,No,Vivo,RJ,700,653.0,39.4,0.48,1,0,0,7,4.1,0.81,0,0,0,0,12.5,1,0
CLARO-00062-801,Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,126.71,1010.31,No,Claro,RJ,700,652.7,32.0,0.93,1,1,0,9,3.8,0.53,0,0,0,0,7.3,1,0
CLARO-00063-112,Male,0,Yes,No,49,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,126.28,6117.73,No,Claro,SP,50,44.8,29.0,1.19,0,1,0,9,4.8,0.69,0,0,0,0,2.6,1,0
CLARO-00064-903,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),160.99,1937.47,Yes,Claro,GO,1000,363.8,233.3,28.31,4,10,1,2,1.2,-0.82,5,0,3,3,1.2,0,0
VIVO-00065-200,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,170.66,1506.96,No,Vivo,SP,700,632.5,19.4,0.13,0,0,0,7,4.3,0.43,0,0,0,0,1.3,1,0
CLARO-00066-624,Female,1,Yes,No,21,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,130.56,2642.2,Yes,Claro,SP,1000,936.9,26.8,0.12,0,0,0,7,4.1,0.36,0,0,0,0,14.2,1,0
CLARO-00067-923,Female,0,Yes,No,4,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),122.66,473.31,No,Claro,PE,50,51.8,35.6,0.47,0,0,1,7,4.7,0.22,0,0,0,0,1.0,0,0
TIM-00068-789,Female,1,Yes,Yes,45,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),181.8,7961.85,No,TIM,SP,1000,899.6,39.4,0.18,0,1,0,9,4.5,0.62,0,0,0,0,1.5,1,0
TIM-00069-671,Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),166.8,338.64,No,TIM,MG,300,282.1,14.9,0.88,0,0,0,9,3.8,0.42,0,0,0,0,8.3,1,0
CLARO-00070-573,Male,0,No,No,72,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),139.69,9802.61,No,Claro,SP,50,43.6,23.0,0.28,0,1,0,6,4.2,0.45,0,0,0,0,10.1,0,0
TIM-00071-704,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,124.45,5022.96,No,TIM,RJ,500,511.6,37.3,0.76,0,2,0,7,4.3,0.57,0,0,0,0,2.5,1,0
TIM-00072-325,Female,1,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,113.7,686.86,No,TIM,PR,300,269.9,34.1,0.8,0,1,0,8,4.8,0.26,1,0,0,0,10.3,0,0
CLARO-00073-538,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,148.06,145.73,No,Claro,SP,500,511.7,39.6,1.19,1,0,1,7,4.7,0.74,0,0,0,0,6.2,1,0
CLARO-00074-887,Male,0,No,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),117.57,5267.27,No,Claro,PE,300,274.4,36.7,0.62,2,0,0,7,4.8,0.71,1,0,0,0,0.2,0,0
VIVO-00075-567,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),146.72,5039.48,No,Vivo,RJ,100,89.3,14.7,0.16,0,0,0,8,4.3,0.21,0,0,0,0,3.4,1,0
TIM-00076-205,Female,0,Yes,Yes,36,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,87.51,3114.88,No,TIM,MG,50,50.0,14.6,0.17,1,0,0,6,4.2,0.29,0,0,0,0,11.7,1,0
TIM-00077-774,Female,0,No,No,41,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),87.24,3413.14,No,TIM,MG,50,49.3,29.1,0.47,1,1,1,9,3.8,0.24,0,0,0,0,9.4,1,0
CLARO-00078-818,Female,1,No,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,142.08,272.68,Yes,Claro,RJ,500,517.5,19.2,0.33,2,0,0,7,4.6,0.63,0,0,0,0,5.2,1,0
TIM-00079-365,Male,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,61.64,749.0,No,TIM,SP,0,0.0,41.3,0.77,0,0,0,7,4.8,0.31,0,0,0,0,11.1,1,0
TIM-00080-112,Male,1,Yes,No,3,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),136.21,396.54,Yes,TIM,PR,1000,436.2,278.9,34.5,4,5,4,2,2.2,-0.78,2,0,1,1,7.0,1,0
CLARO-00081-891,Male,0,No,No,55,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,148.37,8014.21,No,Claro,MG,700,731.2,24.6,1.16,2,0,0,7,4.1,0.75,0,0,0,0,7.6,1,0
CLARO-00082-706,Male,0,No,No,27,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,143.18,3683.48,No,Claro,SP,100,89.2,28.1,1.16,0,0,0,7,4.0,0.65,1,0,0,0,1.4,1,0
VIVO-00083-625,Male,0,Yes,No,11,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,136.55,1516.03,No,Vivo,SP,50,48.4,40.1,0.15,0,2,0,6,4.0,0.62,1,0,0,0,14.1,1,0
TIM-00084-543,Female,0,Yes,Yes,1,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,169.27,166.55,No,TIM,MG,1000,955.2,18.0,1.07,0,1,0,9,5.0,0.71,0,0,0,0,5.8,1,0
VIVO-00085-324,Male,0,No,No,10,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),112.17,1120.62,No,Vivo,MG,500,508.9,35.9,0.46,1,1,0,9,4.8,0.65,1,0,0,0,8.4,1,0
TIM-00086-604,Female,0,Yes,Yes,11,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),153.39,1654.52,No,TIM,RJ,500,432.3,27.8,0.47,0,1,0,9,4.2,0.41,1,0,0,0,4.8,0,0
CLARO-00087-728,Female,0,No,No,36,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),129.25,4628.51,No,Claro,RJ,300,263.4,29.0,1.13,0,1,0,6,4.0,0.78,0,0,0,0,4.0,1,0
VIVO-00088-362,Male,0,Yes,Yes,28,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,105.56,2934.86,No,Vivo,SP,100,86.5,21.6,1.14,0,0,0,9,4.5,0.78,0,0,0,0,14.1,1,0
TIM-00089-260,Male,1,Yes,Yes,61,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,160.37,9474.91,No,TIM,RJ,700,624.0,26.4,0.16,0,1,1,8,3.9,0.71,0,0,0,0,5.6,1,0
VIVO-00090-145,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),175.9,2871.65,No,Vivo,RJ,700,636.8,29.2,0.32,1,0,1,7,4.5,0.54,0,0,0,0,14.2,1,0
VIVO-00091-297,Male,1,Yes,No,3,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,149.38,428.9,No,Vivo,MG,100,93.4,30.7,0.65,1,0,0,9,4.7,0.81,1,0,0,0,5.2,1,0
CLARO-00092-597,Female,1,Yes,Yes,34,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,161.54,5387.57,No,Claro,RJ,100,89.6,32.5,1.17,1,0,0,9,4.2,0.67,0,0,0,0,7.3,1,0
VIVO-00093-157,Male,1,No,No,40,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,104.98,4252.17,No,Vivo,RS,50,42.8,31.1,0.19,0,0,0,7,4.8,0.58,0,0,0,0,4.3,1,0
VIVO-00094-685,Male,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),166.0,3885.4,No,Vivo,MG,300,282.5,38.9,1.03,0,0,0,8,4.5,0.58,0,0,0,0,8.9,1,0
CLARO-00095-593,Male,0,Yes,Yes,41,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),90.33,3656.96,No,Claro,DF,50,46.7,41.9,0.35,0,0,0,9,4.5,0.32,0,0,0,0,10.1,1,0
TIM-00096-960,Male,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),45.81,862.23,No,TIM,RJ,0,0.0,38.1,0.53,0,1,0,9,4.4,0.28,0,0,0,0,2.9,1,0
CLARO-00097-642,Female,0,No,No,20,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,158.86,3019.38,No,Claro,PR,1000,881.7,35.2,0.71,0,1,0,7,4.3,0.48,0,0,0,0,14.3,0,0
TIM-00098-643,Male,1,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),167.4,2489.1,Yes,TIM,RJ,700,621.4,39.0,0.46,0,2,1,8,4.1,0.67,0,0,0,0,9.8,1,0
TIM-00099-361,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),151.58,149.55,No,TIM,PR,300,261.3,16.1,1.01,0,1,0,7,3.9,0.33,0,0,0,0,4.4,1,0
